"CD_MUN","class_values","year","area_ha"
"2110237",33,2006,2.23154319194462
"2110237",39,2006,3.74862171601467
"2110237",3,2007,34373.7846337945
"2110237",4,2007,56994.995947124
"2110237",12,2007,868.508670247193
"2110237",15,2007,119.511739826121
"2110237",21,2007,1115.08431868056
"2110237",24,2007,10.0873714330753
"2110237",33,2007,2.85637327382192
"2110237",39,2007,28.1148328178145
"2110237",3,2008,34388.1608999977
"2110237",4,2008,56150.7122566387
"2110237",12,2008,1199.91851741573
"2110237",15,2008,51.2323418698786
"2110237",21,2008,1610.27960556016
"2110237",24,2008,10.1766400736677
"2110237",33,2008,3.65973746780548
"2110237",39,2008,98.0006158707205
"2110237",41,2008,0.803272300634906
"2110237",3,2009,34175.809381381
"2110237",4,2009,55710.153180214
"2110237",9,2009,3.48108903070875
"2110237",12,2009,1292.20844862266
"2110237",15,2009,28.4726239560796
"2110237",21,2009,2204.72736161952
"2110237",24,2009,10.1766400736677
"2110237",25,2009,0.357018191023916
"2110237",33,2009,1.87450926668011
"2110237",39,2009,79.8821948142041
"2110237",41,2009,5.80144002457112
"2110237",3,2010,34082.6248856507
"2110237",4,2010,55720.1513580661
"2110237",9,2010,10.7106920192629
"2110237",12,2010,1838.37181249159
"2110237",15,2010,48.2863135973658
"2110237",21,2010,1737.0202342201
"2110237",24,2010,10.1766400736677
"2110237",25,2010,13.8344582996588
"2110237",33,2010,0.892632480096444
"2110237",39,2010,0.803278340623341
"2110237",41,2010,50.0715819527607
"2110237",3,2012,34320.5121922853
"2110237",4,2012,55691.5686935318
"2110237",9,2012,11.0677092953028
"2110237",12,2012,1882.2871968196
"2110237",15,2012,9.1933311221743
"2110237",21,2012,1536.5490951795
"2110237",24,2012,10.176640162719
"2110237",25,2012,1.07116309040859
"2110237",41,2012,50.5178657054424
"2110237",3,2011,34262.6680006207
"2110237",4,2011,55567.6875132
"2110237",9,2011,10.7106920192629
"2110237",12,2011,1896.74616383785
"2110237",15,2011,25.1695751414152
"2110237",21,2011,1675.43295121618
